=== FPS ARMOR ===

=== HELMETS ===
Name                                               | Type            | Damage reduction | Min temp (°C) | Max temp (°C) | Radiation Resistnace (REM) | Radiation Scrub Rate (REM/s) | Capacity (μSCU) | Volume (μSCU) | Image
Odyssey II Helmet Starcrossed                      | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Corbel Helmet Mire                                 | Heavy Armor     | 40%              | -70           | 100           | 26800                      | 145.8                        | 0               | 19000         |      
Argus Helmet Yellow/Black                          | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Fieldsbury Dark Bear Helmet Guava                  | Flight Helmet   | 10%              | -40           | 60            | 15200                      | 81                           | 0               | 15700         |      
Survivalist Heavy Helmet Dark Purple               | Heavy Armor     | 40%              | -77           | 107           | 26800                      | 145.8                        | 0               | 19000         |      
Oracle Helmet Tan                                  | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Odyssey II Helmet Alpha                            | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Neoni Jami Helmet                                  | Heavy Armor     | 40%              | -80           | 110           | 26800                      | 145.8                        | 0               | 19000         |      
DCP Armor Helmet True Valor                        | Heavy Armor     | 40%              | -70           | 100           | 26800                      | 145.8                        | 0               | 19000         |      
Neoni Tengubi Helmet                               | Heavy Armor     | 40%              | -80           | 110           | 26800                      | 145.8                        | 0               | 19000         |      
Balor HCH Helmet White                             | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Venture Helmet White (Damaged)                     | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Odyssey II Helmet Aqua                             | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Odyssey II Helmet White                            | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Morozov-SH-C Helmet Spitfire                       | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Morningstar Helmet Green                           | Medium Armor    | 30%              | -56           | 86            | 26400                      | 145.8                        | 0               | 17000         |      
Siebe Helmet                                       | Heavy Utility   | 25%              | -150          | 175           | 33600                      | 147.42                       | 0               | 19000         |      
Odyssey II Helmet Dark Green                       | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Fortifier Helmet Ignitor                           | Heavy Armor     | 40%              | -80           | 110           | 26800                      | 145.8                        | 0               | 19000         |      
Siebe Helmet Tidal Wave                            | Heavy Utility   | 25%              | -150          | 175           | 33600                      | 147.42                       | 0               | 19000         |      
Oracle Helmet Lichen                               | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Oracle Helmet Black                                | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Oracle Helmet Cold Steel                           | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Venture Helmet Black                               | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Sangar Helmet (Modified)                           | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Arden-SL Helmet Coramor Edition "Fate"             | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Morozov-SH-S Helmet Spitfire                       | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Horizon Helmet Blue                                | Light Armor     | 20%              | -37           | 67            | 26000                      | 145.8                        | 0               | 12000         |      
G-2 Helmet White                                   | Medium Armor    | 30%              | -55           | 85            | 26400                      | 145.8                        | 0               | 17000         |      
Oracle Helmet Abyss                                | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Morozov-SH-I Helmet Pyrotechnic Spite              | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Odyssey II Helmet Envy                             | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Microid Battle Suit Helmet Badland                 | Light Armor     | 20%              | -33           | 63            | 26000                      | 145.8                        | 0               | 12000         |      
Oracle Helmet Purple                               | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Lost Plague Helmet Radioactive Yellow              | Flight Helmet   | 10%              | -40           | 60            | 15200                      | 81                           | 0               | 15700         |      
Balor HCH Helmet microTech Edition                 | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Zeus Exploration Suit Helmet                       | Heavy Armor     | 40%              | -150          | 175           | 33600                      | 147.42                       | 0               | 19000         |      
Aztalan Tamarack Helmet                            | Light Armor     | 20%              | -32           | 64            | 26000                      | 145.8                        | 0               | 12000         |      
Balor HCH Helmet Aqua                              | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Aves Talon Helmet                                  | Medium Armor    | 30%              | -60           | 90            | 26400                      | 145.8                        | 0               | 17000         |      
Artimex Helmet Chairman's Club                     | Medium Armor    | 30%              | -61           | 91            | 26400                      | 145.8                        | 0               | 17000         |      
Antium Armor Helmet Storm                          | Heavy Armor     | 40%              | -85           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Venture Helmet Sienna                              | Light Armor     | 20%              | -38           | 68            | 26000                      | 145.8                        | 0               | 12000         |      
Pembroke Helmet RSI Sunburst Edition               | Heavy Utility   | 25%              | -75           | 225           | 33600                      | 147.42                       | 0               | 19000         |      
Balor HCH Helmet Orange                            | Heavy Armor     | 40%              | -75           | 105           | 26800                      | 145.8                        | 0               | 19000         |      
Odyssey II Helmet Tan                              | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Xanthule Helmet                                    | Flight Helmet   | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Oracle Helmet Imperial                             | Light Armor     | 20%              | -31           | 61            | 26000                      | 145.8                        | 0               | 12000         |      
Star Kitten Racing Helmet                          | Helmet          | 10%              | -30           | 60            | 15200                      | 81                           | 0               | 15700         |      
Strata Helmet Calico                               | Medium Armor    | 30%              | -50           | 80            | 26400                      | 145.8                        | 0               | 17000         |      
Morozov-SH-C Helmet Smokescreen                    | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
Horizon Helmet Orange                              | Light Armor     | 20%              | -37           | 67            | 26000                      | 145.8                        | 0               | 12000         |      
Sangar Helmet Grey/Black                           | Heavy Armor     | 40%              | -90           | 115           | 26800                      | 145.8                        | 0               | 19000         |      
