Name                                                                    | Base Price | Type

Pyro - Bloom - Bueno Ravine - shop_terminal

Rust (Bottle)                                                       | 5          | Miscellaneous/Drinks
TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
FSK-8 Combat Knife                                                  | 1250       | Personal Weapons/Personal Weapons
Stitcher Core                                                       | 3452       | Armor/Torso
Aril Backpack Hazard                                                | 1900       | Armor/Backpacks
Slickdry Waders                                                     | 3456       | Clothing/Legwear
J-5 Helmet                                                          | 1200       | Armor/Helmets
Carafi Cube                                                         | 7          | Miscellaneous/Foods
Pyro RYT Multi-Tool                                                 | 485        | Personal Weapons/Personal Weapons
Loscha Work Vest                                                    | 2074       | Clothing/Jackets
Waveshift                                                           | 19125      | Utility/Gadgets
Slickdry Waders Primrose                                            | 3456       | Clothing/Legwear
Sinkhole Backpack                                                   | 1806       | Armor/Backpacks
Loscha Work Vest Valencia                                           | 2074       | Clothing/Jackets
OxyPen                                                              | 260        | Miscellaneous/Consumables
Loscha Work Vest Primrose                                           | 2074       | Clothing/Jackets
Cambrio SRT Battery                                                 | 157        | Personal Weapons/Attachments
DetoxPen (Resurgera)                                                | 240        | Miscellaneous/Consumables
ReadyMeal (Beef Chunks)                                             | 14         | Miscellaneous/Foods
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
Stitcher Legs                                                       | 1236       | Armor/Legs
Reclaimed Water (1_a)                                               | 3          | Miscellaneous/Drinks
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
Why Not? Helmet                                                     | 923        | Armor/Helmets
YellowJacket GT-210 Gatling                                         | 4750       | Vehicle Weapons/Guns
9-Series Longsword Cannon                                           | 10625      | Vehicle Weapons/Guns
Cambio SRT Canister                                                 | 175        | Personal Weapons/Attachments
Fuse                                                                | 180        | Miscellaneous/Miscellaneous
Enkel Shirt Valencia                                                | 398        | Clothing/Shirts
Enkel Shirt Primrose                                                | 398        | Clothing/Shirts
Aloprat Skewer                                                      | 9          | Miscellaneous/Foods
Stitcher Arms                                                       | 928        | Armor/Arms
Enkel Shirt                                                         | 398        | Clothing/Shirts
Pulse Laser Pistol Battery (60 Cap)                                 | 75         | Personal Weapons/Attachments
The Butcher Helmet                                                  | 2800       | Armor/Helmets
DeconPen (Canoiodide)                                               | 265        | Miscellaneous/Consumables
Slickdry Waders Valencia                                            | 3456       | Clothing/Legwear
Sabir                                                               | 13815      | Utility/Gadgets
MacFlex Backpack Granite Red                                        | 1320       | Armor/Backpacks
OreBit Mining Attachment                                            | 375        | Personal Weapons/Attachments
